XPath,AND_2005_EML,AND_2006_EML,AND_2007_EML,AND_2008_EML,AND_2009_EML,AND_2010_EML,AND_2011_EML,AND_2012_EML,AND_2013_EML,AND_2014_EML,AND_2015_EML,AND_2016_EML,AND_2017_EML,AND_2018_EML
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankName,0.2554347826086957,0.0,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.08333333333333333,0.4227642276422765,0.42424242424242425,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankValue,0.2554347826086957,0.0,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.08333333333333333,0.4227642276422765,0.42424242424242425,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankName,0.2554347826086957,0.0,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.08333333333333333,0.4227642276422765,0.42424242424242425,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankValue,0.2554347826086957,0.0,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.08333333333333333,0.4227642276422765,0.42424242424242425,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,0.2554347826086957,0.0,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.4065040650406504,0.42424242424242425,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,0.2554347826086957,0.0,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.4065040650406504,0.42424242424242425,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,0.24456521739130435,0.0,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.4065040650406504,0.42424242424242425,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,0.24456521739130435,0.0,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.4065040650406504,0.42424242424242425,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,0.22282608695652173,0.0,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.3983739837398374,0.42424242424242425,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,0.22282608695652173,0.0,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.3983739837398374,0.42424242424242425,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,0.20108695652173916,0.0,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.3739837398373984,0.42424242424242425,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,0.20108695652173916,0.0,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.3739837398373984,0.42424242424242425,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,0.1793478260869565,0.0,0.3157894736842105,0.3333333333333333,0.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.34959349593495936,0.3939393939393939,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,0.1793478260869565,0.0,0.3157894736842105,0.3333333333333333,0.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.34959349593495936,0.3939393939393939,0.4,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,0.14673913043478262,0.0,0.2631578947368421,0.3333333333333333,0.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.3089430894308943,0.3636363636363637,0.3333333333333333,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,0.14673913043478262,0.0,0.2631578947368421,0.3333333333333333,0.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.3089430894308943,0.3636363636363637,0.3333333333333333,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,0.11413043478260868,0.0,0.21052631578947367,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.21138211382113825,0.24242424242424246,0.26666666666666666,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,0.11413043478260868,0.0,0.21052631578947367,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.21138211382113825,0.24242424242424246,0.26666666666666666,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,0.02717391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.030303030303030307,0.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,0.02717391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.030303030303030307,0.0,1.0
