XPath,PIE_2005_EML,PIE_2007_EML,PIE_2009_EML,PIE_2010_EML,PIE_2011_EML,PIE_2012_EML,PIE_2013_EML,PIE_2014_EML,PIE_2015_EML,PIE_2016_EML,PIE_2017_EML,PIE_2018_EML
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,0.5093167701863354,0.6666666666666666,0.8,0.75,0.6666666666666666,0.9866666666666668,0.38461538461538464,0.13333333333333333,0.6658767772511849,0.9910714285714286,0.9242424242424242,0.9473684210526316
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,0.2857142857142857,0.3225806451612903,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,0.4409937888198758,0.41935483870967744,0.0,0.875,0.6666666666666666,0.2933333333333333,0.13846153846153847,0.11666666666666667,0.2417061611374408,0.5,0.3484848484848485,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/customUnit,0.14906832298136646,0.010752688172043013,0.0,0.1875,0.0,0.04,0.04615384615384616,0.06666666666666668,0.06635071090047394,0.16964285714285715,0.18181818181818185,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/standardUnit,0.4409937888198758,0.41935483870967744,0.0,0.875,0.6666666666666666,0.2933333333333333,0.13846153846153847,0.11666666666666667,0.2417061611374408,0.5,0.3484848484848485,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/@enforced,0.16149068322981364,0.1935483870967742,0.0,0.125,0.3333333333333333,0.08,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,0.36645962732919257,0.3978494623655914,0.4,0.6875,0.3333333333333333,0.52,0.13846153846153847,0.016666666666666666,0.2962085308056872,0.3928571428571429,0.4393939393939394,0.5789473684210527
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,0.36645962732919257,0.3978494623655914,0.4,0.6875,0.3333333333333333,0.52,0.13846153846153847,0.016666666666666666,0.2962085308056872,0.3928571428571429,0.4393939393939394,0.5789473684210527
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,0.484472049689441,0.5913978494623656,0.6,0.3125,0.3333333333333333,0.6133333333333333,0.3538461538461539,0.1,0.4241706161137441,0.7767857142857143,0.9393939393939394,0.42105263157894735
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/@enforced,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/code,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.007109004739336493,0.0,0.015151515151515154,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.007109004739336493,0.0,0.015151515151515154,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/textDomain/definition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023696682464454982,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,0.8136645962732919,0.913978494623656,1.0,1.0,1.0,0.9733333333333334,0.3692307692307693,0.13333333333333333,0.6469194312796208,0.9553571428571428,0.9242424242424242,0.9473684210526316
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,0.5403726708074534,0.6774193548387096,0.4,0.8125,1.0,0.4533333333333333,0.2,0.11666666666666667,0.3838862559241705,0.7946428571428571,0.6818181818181818,0.8421052631578947
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,0.6273291925465838,0.6344086021505376,0.6,1.0,1.0,0.8933333333333333,0.3076923076923077,0.11666666666666667,0.4834123222748815,0.625,0.6515151515151515,0.9473684210526316
